SI.No,Resources ,Qty,Months ,Total Manmonths ,Unit Price,Total Price 
1,Project Manager ,1,8,8," 200,000.00 "," 1,600,000.00 "
2,NON-IT Consultant ,1,2,2," 300,000.00 "," 600,000.00 "
3,NON-IT Expert ,1,8,8," 150,000.00 "," 1,200,000.00 "
4,Implementation/Solution Lead ,1,3,3," 300,000.00 "," 900,000.00 "
5,Network & Security expert ,1,4,4," 200,000.00 "," 800,000.00 "
6,Compute Expert ,1,4,4," 200,000.00 "," 800,000.00 "
7,Engineers  ,2,8,16," 100,000.00 "," 1,600,000.00 "
Salary with Insurance,,,,,," 7,500,000.00 "
Travel cost (15 Visits),,,,,," 1,500,000.00 "
"Accomadation , Local Travel,  Food Expenses (50 Man Months)",,,,,," 5,400,000.00 "
Total cost during implementation,,,,,," 14,400,000.00 "
